time 	 force 	 position
0.397162	-0.754138   0.80458	1.67515 1.37312
0.397275	-0.754138   0.80458	1.67515 1.37312
0.398879	-0.754138   0.80458	1.67515 1.37312
0.399129	-0.754138   0.80458	1.67515 1.37312
0.400627	-0.754138   0.80458	1.67515 1.37312
0.40156	-0.754138   0.80458	1.67515 1.37312
0.402255	-0.754138   0.80458	1.67515 1.37312
0.403329	-0.754138   0.80458	1.67515 1.37312
0.404239	-0.754138   0.80458	1.67515 1.37312
0.405156	-0.754138   0.80458	1.67515 1.37312
0.40666	-0.754138   0.80458	1.67515 1.37312
0.407211	-0.754138   0.80458	1.67515 1.37312
0.408457	-0.754138   0.80458	1.67515 1.37312
0.409252	-0.754138   0.80458	1.67515 1.37312
0.412333	-0.754138   0.80458	1.67515 1.37312
0.412458	-0.754138   0.80458	1.67515 1.37312
0.412626	-0.754138   0.80458	1.67515 1.37312
0.413997	-0.754138   0.80458	1.67515 1.37312
0.414126	-0.754138   0.80458	1.67515 1.37312
0.41646	-0.754138   0.80458	1.67515 1.37312
0.41678	-0.754138   0.80458	1.67515 1.37312
0.417262	-0.754138   0.80458	1.67515 1.37312
0.418405	-0.754138   0.80458	1.67515 1.37312
0.419173	-0.754138   0.80458	1.67515 1.37312
0.420313	-0.754138   0.80458	1.67515 1.37312
0.421217	-0.754138   0.80458	1.67515 1.37312
0.422172	-0.754138   0.80458	1.67515 1.37312
0.423711	-0.754138   0.80458	1.67515 1.37312
0.424196	-0.754138   0.80458	1.67515 1.37312
0.425358	-0.754138   0.80458	1.67515 1.37312
0.42626	-0.754138   0.80458	1.67515 1.37312
0.428912	-0.754138   0.80458	1.67515 1.37312
0.429038	-0.754138   0.80458	1.67515 1.37312
0.429136	-0.754138   0.80458	1.67515 1.37312
0.430344	-0.754138   0.80458	1.67515 1.37312
0.431485	-0.754138   0.80458	1.67515 1.37312
0.43378	-0.754138   0.80458	1.67515 1.37312
0.433925	-0.754138   0.80458	1.67515 1.37312
0.434212	-0.754138   0.80458	1.67515 1.37312
0.435331	-0.754138   0.80458	1.67515 1.37312
0.436245	-0.754138   0.80458	1.67515 1.37312
0.437156	-0.754138   0.80458	1.67515 1.37312
0.438425	-0.754138   0.80458	1.67515 1.37312
0.439232	-0.754138   0.80458	1.67515 1.37312
0.440247	-0.754138   0.80458	1.67515 1.37312
0.441549	-0.754138   0.80458	1.67515 1.37312
0.442213	-0.754138   0.80458	1.67515 1.37312
0.443185	-0.754138   0.80458	1.67515 1.37312
0.445527	-0.754138   0.80458	1.67515 1.37312
0.445676	-0.754138   0.80458	1.67515 1.37312
0.447439	-0.754138   0.80458	1.67515 1.37312
0.447584	-0.754138   0.80458	1.67515 1.37312
0.448712	-0.754138   0.80458	1.67515 1.37312
0.449708	-0.754138   0.80458	1.67515 1.37312
0.450294	-0.754138   0.80458	1.67515 1.37312
0.451399	-0.754138   0.80458	1.67515 1.37312
0.452201	-0.754138   0.80458	1.67515 1.37312
0.453167	-0.754138   0.80458	1.67515 1.37312
0.454498	-0.754138   0.80458	1.67515 1.37312
0.455223	-0.754138   0.80458	1.67515 1.37312
0.456304	-0.754138   0.80458	1.67515 1.37312
0.457734	-0.754138   0.80458	1.67515 1.37312
0.458223	-0.754138   0.80458	1.67515 1.37312
0.459284	-0.754138   0.80458	1.67515 1.37312
0.461936	-0.754138   0.80458	1.67515 1.37312
0.462036	-0.754138   0.80458	1.67515 1.37312
0.4621	-0.754138   0.80458	1.67515 1.37312
0.463941	-0.754138   0.80458	1.67515 1.37312
0.46409	-0.754138   0.80458	1.67515 1.37312
0.465756	-0.754138   0.80458	1.67515 1.37312
0.466248	-0.754138   0.80458	1.67515 1.37312
0.467643	-0.754138   0.80458	1.67515 1.37312
0.468356	-0.754138   0.80458	1.67515 1.37312
0.469451	-0.754138   0.80458	1.67515 1.37312
0.47027	-0.754138   0.80458	1.67515 1.37312
0.471229	-0.754138   0.80458	1.67515 1.37312
0.472596	-0.754138   0.80458	1.67515 1.37312
0.473329	-0.754138   0.80458	1.67515 1.37312
0.47424	-0.754138   0.80458	1.67515 1.37312
0.475246	-0.754138   0.80458	1.67515 1.37312
0.476202	-0.754138   0.80458	1.67515 1.37312
0.478765	-0.754138   0.80458	1.67515 1.37312
0.478864	-0.754138   0.80458	1.67515 1.37312
0.479465	-0.754138   0.80458	1.67515 1.37312
0.480694	-0.754138   0.80458	1.67515 1.37312
0.481587	-0.754138   0.80458	1.67515 1.37312
0.482869	-0.754138   0.80458	1.67515 1.37312
0.483107	-0.754138   0.80458	1.67515 1.37312
0.484213	-0.754138   0.80458	1.67515 1.37312
0.48526	-0.754138   0.80458	1.67515 1.37312
0.486665	-0.754138   0.80458	1.67515 1.37312
0.487359	-0.754138   0.80458	1.67515 1.37312
0.488398	-0.754138   0.80458	1.67515 1.37312
0.489211	-0.754138   0.80458	1.67515 1.37312
0.490366	-0.754138   0.80458	1.67515 1.37312
0.491416	-0.754138   0.80458	1.67515 1.37312
0.492217	-0.754138   0.80458	1.67515 1.37312
0.493632	-0.754138   0.80458	1.67515 1.37312
0.494576	-0.754138   0.80458	1.67515 1.37312
0.497382	-0.754138   0.80458	1.67515 1.37312
0.497569	-0.754138   0.80458	1.67515 1.37312
0.49763	-0.754138   0.80458	1.67515 1.37312
0.498572	-0.754138   0.80458	1.67515 1.37312
0.49981	-0.754138   0.80458	1.67515 1.37312
0.500223	-0.754138   0.80458	1.67515 1.37312
0.501797	-0.754138   0.80458	1.67515 1.37312
0.502245	-0.754138   0.80458	1.67515 1.37312
0.50329	-0.754138   0.80458	1.67515 1.37312
0.504182	-0.754138   0.80458	1.67515 1.37312
0.50519	-0.754138   0.80458	1.67515 1.37312
0.506168	-0.754138   0.80458	1.67515 1.37312
0.507662	-0.754138   0.80458	1.67515 1.37312
0.508503	-0.754138   0.80458	1.67515 1.37312
0.509156	-0.754138   0.80458	1.67515 1.37312
0.510715	-0.754138   0.80458	1.67515 1.37312
0.512935	-0.754138   0.80458	1.67515 1.37312
0.513183	-0.754138   0.80458	1.67515 1.37312
0.513419	-0.754138   0.80458	1.67515 1.37312
0.516086	-0.754138   0.80458	1.67515 1.37312
0.516375	-0.754138   0.80458	1.67515 1.37312
0.516648	-0.754138   0.80458	1.67515 1.37312
0.517272	-0.754138   0.80458	1.67515 1.37312
0.518148	-0.754138   0.80458	1.67515 1.37312
0.519227	-0.754138   0.80458	1.67515 1.37312
0.520155	-0.754138   0.80458	1.67515 1.37312
0.521317	-0.754138   0.80458	1.67515 1.37312
0.522238	-0.754138   0.80458	1.67515 1.37312
0.523365	-0.754138   0.80458	1.67515 1.37312
0.524199	-0.754138   0.80458	1.67515 1.37312
0.52514	-0.754138   0.80458	1.67515 1.37312
0.526295	-0.754138   0.80458	1.67515 1.37312
0.527232	-0.754138   0.80458	1.67515 1.37312
0.529348	-0.754138   0.80458	1.67515 1.37312
0.529445	-0.754138   0.80458	1.67515 1.37312
0.531122	-0.754138   0.80458	1.67515 1.37312
0.531225	-0.754138   0.80458	1.67515 1.37312
